ThreadNumber	CommentPosition	WordCount	NegativeVE	PositiveVE	Normalcy	Safety	SharedSpace	ComingOfAge	Friends	Learning	Mental	Technology	Policy	Management
180	1	118	0	0	1	1	1	0	0	0	0	0	1	0
181	1	45	1	1	1	0	0	0	0	0	0	0	0	0
181	2	20	0	0	0	0	0	0	0	0	0	0	0	0
182	1	155	0	1	0	0	0	0	1	0	1	0	1	0
183	1	211	0	1	1	1	1	1	0	0	0	0	1	0
184	1	121	0	1	1	0	0	0	0	0	0	0	1	0
185	1	154	0	1	1	1	0	0	1	0	0	0	1	1
186	1	143	1	1	1	0	0	0	0	1	0	1	1	0
187	1	74	0	1	1	0	0	0	0	0	0	0	0	1
188	1	213	1	0	1	1	1	0	0	0	0	0	0	1
189	1	103	0	1	1	0	0	0	0	0	0	0	0	1
190	1	150	1	1	1	1	1	0	1	0	0	1	1	0
191	1	163	0	1	1	0	1	1	0	1	0	0	0	1
192	1	198	1	1	1	0	0	0	1	1	0	1	0	1
193	1	179	1	0	1	0	1	0	0	0	0	1	1	1
194	1	89	0	1	1	1	0	1	0	0	0	0	1	1
195	1	140	0	1	1	0	1	1	1	0	0	0	1	1
196	1	216	0	1	1	0	0	1	1	0	0	1	1	1
197	1	72	0	1	1	0	0	0	0	0	0	1	1	1
198	1	90	0	1	0	0	0	0	0	1	0	0	0	1
199	1	148	1	0	0	0	1	0	0	0	0	1	1	1
200	1	101	1	0	0	1	0	0	0	0	0	1	1	0
201	1	84	0	1	0	1	1	0	0	1	0	1	1	0
202	1	164	1	0	1	0	1	1	0	0	0	0	0	1
203	1	99	0	0	1	1	0	0	0	0	0	0	1	0
204	1	198	1	1	1	0	0	0	0	1	0	0	1	1
205	1	211	1	1	1	0	1	0	1	1	0	1	1	1
206	1	120	0	0	0	1	1	0	1	0	0	0	0	1
207	1	264	0	0	1	1	1	0	1	1	0	1	0	1
208	1	100	1	1	1	0	0	1	0	1	0	0	0	0
209	1	169	0	1	1	0	1	0	1	0	0	1	0	1
209	2	3	0	0	0	0	0	0	0	0	0	0	0	0
210	1	229	1	1	1	0	1	0	1	1	1	0	1	1
211	1	196	1	0	1	0	0	0	0	1	1	1	0	1
212	1	64	0	1	1	0	0	0	0	1	0	0	0	0
212	2	2	1	0	0	0	0	0	0	0	0	0	0	0
212	3	3	0	1	0	0	0	0	0	0	0	0	0	0
214	1	144	1	1	1	0	1	0	0	1	0	0	1	0
215	1	211	1	1	0	0	1	0	0	1	0	1	1	1
216	1	288	1	1	1	0	1	0	1	1	0	1	0	1
217	1	147	0	1	1	0	1	0	1	1	0	0	1	0
220	1	178	1	0	1	0	1	0	1	0	0	1	0	1
220	2	2	0	0	0	0	0	0	0	0	1	0	0	0
221	1	280	1	0	0	0	1	0	0	1	1	1	0	1
221	2	25	0	0	0	0	0	0	0	0	1	0	0	0
223	1	48	1	0	0	0	0	0	0	0	0	1	0	0
224	1	140	0	1	0	0	0	1	0	1	0	1	0	0
225	1	161	1	1	1	0	0	0	1	0	0	0	1	1
226	1	88	1	1	1	0	0	1	0	0	0	0	0	0
226	2	11	0	0	0	0	0	0	0	0	0	0	0	0
227	1	129	1	1	1	0	1	0	1	1	0	0	1	0
228	1	79	0	0	1	1	0	0	0	0	0	0	1	0
229	1	247	1	0	1	0	1	0	0	0	0	0	1	1
229	2	6	0	0	0	0	0	0	0	0	0	0	0	0
230	1	210	1	1	1	0	1	0	0	1	0	1	0	0
231	1	91	1	0	1	1	1	0	1	0	0	0	1	1
232	1	111	1	1	1	0	1	0	0	1	0	1	1	0
233	1	49	0	1	1	0	0	0	0	0	0	0	0	0
233	2	5	0	0	1	0	0	0	0	0	0	0	0	0
234	1	273	1	0	1	1	1	0	0	0	1	0	0	0
234	2	3	0	0	1	0	0	0	0	0	0	0	0	0
235	1	122	1	1	1	0	1	1	1	0	0	0	1	0
236	1	138	1	1	1	0	1	1	1	1	0	1	0	0
238	1	262	1	1	0	0	1	0	1	1	0	1	0	1
238	2	5	0	0	0	0	0	0	0	0	0	0	0	0
238	3	18	0	0	0	0	0	0	0	1	0	0	0	0
239	1	117	0	1	1	0	0	1	0	0	0	0	1	1
240	1	216	1	0	1	0	0	0	1	1	1	1	0	1
241	1	110	1	1	1	0	0	1	1	0	0	0	0	1
243	1	176	1	1	1	0	1	0	1	1	0	0	1	0
244	1	240	1	1	1	0	0	1	1	0	0	0	1	1
245	1	126	1	1	1	0	1	0	1	0	0	0	1	1
246	1	254	1	1	0	0	1	0	1	1	0	0	1	0
246	2	7	0	0	0	0	0	0	0	0	0	0	0	0
248	1	272	1	0	0	0	1	0	0	1	0	1	0	1
248	2	3	0	0	0	0	0	0	0	0	0	1	0	0
248	3	10	0	1	0	0	0	0	0	0	0	0	0	0
249	1	112	0	1	1	0	0	0	1	0	0	0	1	1
250	1	131	1	1	0	0	1	1	0	0	1	1	0	0
251	1	131	1	0	1	1	1	0	1	0	0	1	0	1
253	1	219	1	1	0	1	0	0	0	1	0	0	1	1
257	1	209	1	0	1	1	0	0	0	0	0	0	1	0
258	1	184	1	1	0	1	1	0	1	1	0	1	0	1
259	1	22	0	1	1	0	1	0	1	0	0	0	0	0
260	1	201	1	0	1	1	0	0	1	0	0	1	1	1
261	1	16	1	0	1	1	0	0	0	0	0	0	0	0
262	1	1	0	1	0	0	0	0	0	0	0	0	0	0
263	1	51	0	1	0	0	0	1	1	0	0	0	0	0
264	1	82	1	1	1	0	1	0	0	0	0	0	1	0
265	1	37	1	0	1	0	1	0	0	1	0	0	0	0
266	1	53	1	0	0	1	0	0	0	0	0	0	1	0
267	1	65	1	0	0	0	1	0	0	0	0	0	1	0
268	1	94	0	1	1	0	0	0	0	0	0	0	1	1
269	1	98	0	1	1	0	0	0	1	0	0	0	1	1
270	1	20	1	1	1	0	0	0	0	0	0	0	0	0
271	1	122	1	1	1	0	1	0	1	0	0	1	0	1
271	2	11	0	1	1	0	0	0	0	0	0	0	0	0
271	3	9	0	1	1	0	0	0	0	0	0	0	0	0
272	1	92	0	0	0	1	1	0	1	0	0	1	0	1
274	1	154	1	0	1	1	1	0	0	0	1	0	0	1
275	1	104	1	1	1	1	0	1	0	0	1	0	0	1
276	1	131	1	0	1	1	1	0	1	0	0	1	0	1
278	1	219	1	1	0	1	0	0	0	1	0	0	1	1
282	1	209	1	0	1	1	0	0	0	0	0	0	1	0
283	1	184	1	1	0	1	1	0	1	1	0	1	0	1
284	1	22	0	1	1	0	1	0	1	0	0	0	0	0
285	1	201	1	0	1	1	0	0	1	0	0	1	1	1
286	1	16	1	0	1	1	0	0	0	0	0	0	0	0
287	1	1	0	0	0	0	0	0	0	0	0	0	0	0
288	1	51	0	1	0	0	0	1	1	0	0	0	0	0
289	1	82	1	1	1	0	1	0	0	0	0	0	1	0
290	1	37	1	0	1	0	1	0	0	1	0	0	0	0
291	1	53	1	0	0	1	0	0	0	0	0	0	1	0
292	1	65	1	0	0	0	1	0	0	0	0	0	1	0
293	1	94	0	1	1	0	0	0	0	0	0	0	1	1
294	1	98	0	1	1	0	0	0	1	0	0	0	1	1
295	1	20	1	1	1	0	0	0	0	0	0	0	0	0
296	1	122	1	1	1	0	1	0	1	0	0	1	0	1
296	2	11	0	1	1	0	0	0	0	0	0	0	0	0
296	3	9	0	1	1	0	0	0	0	0	0	0	0	0
297	1	92	0	0	0	1	1	0	1	0	0	1	0	1
299	1	154	1	0	1	1	1	0	0	0	1	0	0	1
300	1	104	1	1	1	1	0	1	0	0	1	0	0	1
